hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate,Date
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3412,3,333,0,0,20250322063538
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250322063538
5-6,117,1963,0,0,0,0,25533,5967,0,0,0,0,0,0,0,0,0,0,296,1472,0,0,20250322063538
6-7,0,0,0,0,0,0,9793,7518,0,0,0,0,0,0,0,0,0,0,12,366,0,0,20250322063538
7-8,0,0,0,0,0,0,8057,7413,0,0,0,0,0,0,0,0,0,0,6,354,0,0,20250322063538
8-9,6,337,70,1520,371,3108,13729,8657,463,7955,532,4348,49,1078,419,5652,131,1454,21,577,0,0,20250322063538
9-10,3,300,47,1999,419,2887,13815,7273,359,4424,444,2786,21,1133,241,2921,60,1448,57,425,0,0,20250322063538
10-11,3,333,30,2500,191,2603,9855,7332,238,3848,277,2706,36,1211,227,3980,837,3564,42,346,0,0,20250322063538
11-12,0,0,0,0,390,2854,7205,6827,419,3716,652,3602,101,1357,911,4436,93,1348,6,333,0,0,20250322063538
12-13,0,0,0,0,332,2495,5140,5847,280,4635,433,3397,18,543,472,3916,12,1500,0,0,0,0,20250322063538
13-14,3,300,35,1541,215,1990,2179,5780,200,3322,327,2604,18,1000,178,3657,215,2419,21,436,0,0,20250322063538
14-15,0,0,0,0,570,2441,2648,5181,829,3589,1263,3979,75,863,950,4131,641,1928,18,499,0,0,20250322063538
15-16,6,333,61,1675,359,2063,3236,5316,319,2620,681,3306,70,934,476,2892,626,2078,21,541,0,0,20250322063538
16-17,158,1992,84,1686,958,2556,3078,6210,1030,4520,1757,4242,90,1064,989,3390,20320,3868,15,264,0,0,20250322063538
17-18,573,3843,0,0,384,2671,3771,5982,44,1026,133,1866,0,0,249,3419,29532,5181,414,1478,0,0,20250322063538
18-19,126,2490,108,1335,925,2474,3534,4927,1081,3250,1437,2990,190,1449,1757,4680,40068,5256,475,1622,0,0,20250322063538
19-20,311,2616,112,1213,971,2211,4953,5389,1191,3621,1813,4475,93,937,1290,3631,17250,6138,536,1358,0,0,20250322063538
20-21,3,300,0,0,181,2808,776,2917,307,5223,346,2894,36,831,468,3203,1259,3953,15,533,0,0,20250322063538
21-22,76326,9280,78,1414,0,0,447,3815,45,3750,12,1200,24,2400,60,5454,61084,5695,875,1710,0,0,20250322063538
22-23,383,2999,4,444,229,2991,19476,8183,18,591,21,728,0,0,141,4149,13060,6358,75,1080,0,0,20250322063538
23-24,0,0,0,0,0,0,25812,8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250322063538
0-1,0,0,0,0,0,0,15294,8834,0,0,0,0,0,0,0,0,138,1786,6,545,0,0,20250323063131
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
4-5,0,0,0,0,0,0,1517,4330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
5-6,143,2392,0,0,0,0,23457,6210,0,0,0,0,0,0,0,0,0,0,293,2819,0,0,20250323063131
6-7,0,0,0,0,17,1545,805,3726,27,2076,11,846,0,0,4,444,0,0,0,0,0,0,20250323063131
7-8,0,0,0,0,17,1545,1399,3862,25,2500,11,1100,0,0,8,727,0,0,0,0,0,0,20250323063131
8-9,0,0,0,0,0,0,74,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
9-10,0,0,0,0,0,0,241,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
10-11,0,0,0,0,0,0,1717,4498,0,0,0,0,0,0,0,0,3,333,0,0,0,0,20250323063131
11-12,0,0,0,0,18,1636,1795,6910,51,1209,105,2772,12,1200,104,2500,0,0,0,0,0,0,20250323063131
12-13,0,0,0,0,0,0,411,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
13-14,3,300,47,1343,292,2938,3876,5657,263,5777,366,4958,21,808,188,3276,0,0,0,0,0,0,20250323063131
14-15,0,0,0,0,0,0,2333,5389,0,0,0,0,0,0,0,0,3,272,0,0,0,0,20250323063131
17-18,0,0,0,0,0,0,748,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
18-19,0,0,0,0,0,0,1438,7886,0,0,0,0,0,0,0,0,4,444,0,0,0,0,20250323063131
19-20,0,0,0,0,0,0,1668,5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
20-21,0,0,0,0,0,0,25,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
21-22,0,0,0,0,0,0,2277,8764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250323063131
22-23,0,0,0,0,0,0,241,3796,0,0,0,0,0,0,0,0,0,0,3,333,0,0,20250323063131
5-6,143,2283,0,0,0,0,23388,8435,0,0,0,0,0,0,0,0,0,0,293,2898,0,0,20250324063427
6-7,0,0,0,0,26,1857,160,3611,50,4166,0,0,3,333,6,600,0,0,0,0,0,0,20250324063427
7-8,0,0,0,0,0,0,1134,4920,0,0,38,4222,0,0,0,0,0,0,0,0,0,0,20250324063427
8-9,3,272,35,1093,50,2777,2053,4860,43,4777,190,5588,15,1363,42,4200,43,1708,9,900,0,0,20250324063427
9-10,0,0,0,0,0,0,151,2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
10-11,0,0,0,0,0,0,3026,5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
11-12,0,0,0,0,0,0,1534,5363,0,0,0,0,0,0,0,0,0,0,27,510,0,0,20250324063427
12-13,0,0,0,0,0,0,2306,5243,0,0,15,669,0,0,0,0,0,0,0,0,0,0,20250324063427
13-14,0,0,0,0,0,0,618,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
14-15,0,0,0,0,0,0,21,1000,0,0,0,0,0,0,0,0,0,0,6,600,0,0,20250324063427
16-17,3,272,47,1394,292,2912,0,0,263,6550,364,4926,21,808,188,3398,0,0,0,0,0,0,20250324063427
18-19,0,0,0,0,0,0,842,3864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
19-20,0,0,0,0,0,0,1044,4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
20-21,0,0,0,0,0,0,69,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
21-22,0,0,0,0,0,0,240,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
22-23,0,0,0,0,0,0,316,4082,0,0,0,0,0,0,0,0,0,0,3,333,0,0,20250324063427
23-24,0,0,0,0,0,0,285,4427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250324063427
0-1,0,0,0,0,0,0,906,7521,0,0,0,0,0,0,0,0,9,900,3,300,0,0,20250325062941
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250325062941
3-4,0,0,0,0,0,0,70,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250325062941
4-5,6,286,77,1605,196,1933,1602,4381,253,2652,653,5846,43,1004,271,3431,0,0,0,0,0,0,20250325062941
5-6,163,1816,75,1050,463,2647,23774,4574,449,2378,1106,3738,87,1242,599,3275,28337,6732,470,1859,0,0,20250325062941
6-7,17,823,31,840,96,2790,5742,5571,44,1818,205,2185,37,1153,190,4898,13705,4652,90,1452,0,0,20250325062941
7-8,0,0,0,0,0,0,12361,7443,0,0,9,466,0,0,0,0,420,4137,57,2125,0,0,20250325062941
8-9,3,272,35,1251,50,2173,4398,6141,43,4300,199,2979,15,1500,42,3818,847,2103,39,885,0,0,20250325062941
9-10,24,287,18,854,141,2181,7900,7689,139,3082,302,1751,34,1258,258,3273,4552,4613,36,503,0,0,20250325062941
10-11,0,0,0,0,0,0,18875,8972,0,0,18,1000,0,0,0,0,3,333,12,335,0,0,20250325062941
11-12,0,0,0,0,0,0,10098,6944,0,0,0,0,0,0,0,0,0,0,15,360,0,0,20250325062941
12-13,0,0,0,0,0,0,10167,6919,0,0,0,0,0,0,0,0,3,333,3,333,0,0,20250325062941
13-14,3,375,45,1359,190,1806,3179,5771,212,3159,489,4086,43,928,263,2798,1383,5015,39,756,0,0,20250325062941
14-15,240,1860,71,905,501,3093,4265,5814,447,3575,834,2425,133,1155,911,3436,21120,5565,99,722,0,0,20250325062941
15-16,2,250,6,600,21,2333,3641,5706,75,2327,116,2122,27,1097,152,3417,3,333,58,5800,0,0,20250325062941
16-17,0,0,0,0,60,2727,3490,5922,72,5142,111,4166,12,1090,96,5052,0,0,0,0,0,0,20250325062941
17-18,0,0,0,0,137,2271,7313,6570,165,4800,230,4859,43,2150,214,2035,0,0,0,0,0,0,20250325062941
18-19,0,0,0,0,80,2337,4418,6580,113,3766,168,2970,21,533,84,2446,428,7044,9,600,0,0,20250325062941
19-20,0,0,0,0,0,0,1831,4150,0,0,0,0,0,0,0,0,3,300,0,0,0,0,20250325062941
20-21,0,0,0,0,0,0,1715,5833,0,0,0,0,0,0,0,0,3,333,0,0,0,0,20250325062941
21-22,0,0,0,0,0,0,2510,8271,0,0,0,0,0,0,0,0,3,300,0,0,0,0,20250325062941
22-23,0,0,184,4111,0,0,75,2803,0,0,0,0,0,0,0,0,0,0,30,732,0,0,20250325062941
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,0,0,0,0,20250326062737
1-2,0,0,0,0,0,0,431,10775,0,0,0,0,0,0,0,0,0,0,9,483,0,0,20250326062737
4-5,0,0,0,0,0,0,25,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250326062737
5-6,143,819,6,666,0,0,26029,6488,0,0,0,0,21,1909,36,3600,11934,3486,410,2075,0,0,20250326062737
6-7,11,357,45,1147,239,2682,6715,6037,314,2709,456,3165,90,877,610,3454,1087,1949,48,986,0,0,20250326062737
7-8,35,657,127,946,1415,2660,4601,6304,1512,4035,2440,4640,275,1526,2029,3996,12020,6074,138,856,0,0,20250326062737
8-9,38,779,134,1332,881,2841,7135,7191,915,3832,1538,3343,237,1402,1505,3994,49766,5301,528,2227,0,0,20250326062737
9-10,3,300,35,1239,128,2589,8273,5836,103,3150,227,4281,13,666,91,2397,5534,3525,51,485,0,0,20250326062737
10-11,11,369,44,1042,516,2710,14872,7750,684,4896,702,3315,100,803,704,3417,17212,4094,60,541,0,0,20250326062737
11-12,0,0,0,0,0,0,10830,6890,15,700,91,4318,9,750,64,3200,141,1534,30,494,0,0,20250326062737
12-13,12,314,0,0,0,0,11379,7146,0,0,0,0,0,0,0,0,4,333,773,2669,0,0,20250326062737
13-14,0,0,0,0,0,0,5456,6551,0,0,0,0,0,0,0,0,0,0,12,327,0,0,20250326062737
14-15,0,0,0,0,214,2495,5752,5411,211,3746,303,5824,9,379,138,2538,3,333,24,681,0,0,20250326062737
15-16,0,0,0,0,532,2334,7235,6296,1007,4369,644,3989,69,917,551,2997,46,1227,9,347,0,0,20250326062737
16-17,0,0,0,0,532,2568,3005,5425,825,3677,897,3232,54,543,821,3458,3,333,0,0,0,0,20250326062737
17-18,3,300,28,2153,599,2495,3488,5892,646,3767,1186,6121,33,721,641,4156,86,1317,6,354,0,0,20250326062737
18-19,0,0,0,0,459,2582,2837,4903,528,3674,921,5421,33,1217,526,4087,43,1525,6,333,0,0,20250326062737
19-20,1,66,0,0,0,0,3497,5447,0,0,0,0,0,0,0,0,0,0,9,500,0,0,20250326062737
20-21,6,666,22,1222,28,2545,871,3627,87,7909,15,1363,3,272,16,1454,0,0,82,1401,0,0,20250326062737
21-22,0,0,0,0,0,0,543,3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250326062737
22-23,0,0,0,0,0,0,878,4227,0,0,0,0,0,0,0,0,0,0,3,333,0,0,20250326062737
0-1,0,0,0,0,0,0,615,6468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
1-2,0,0,0,0,0,0,4,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
2-3,0,0,0,0,0,0,11,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
3-4,0,0,0,0,0,0,54,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
4-5,0,0,0,0,0,0,1820,4277,0,0,0,0,0,0,0,0,0,0,3,333,0,0,20250327062753
5-6,143,3154,0,0,0,0,27874,6776,0,0,0,0,0,0,0,0,7,350,296,2683,0,0,20250327062753
6-7,0,0,8,800,104,1892,6207,5573,139,3121,124,2078,30,1000,185,4027,0,0,24,425,0,0,20250327062753
7-8,3,300,31,2583,45,1661,7488,5165,65,1537,179,2308,15,436,69,1612,0,0,18,604,0,0,20250327062753
8-9,3,300,35,1283,50,2631,2714,4903,43,4300,186,9789,15,1363,42,3230,0,0,3,375,0,0,20250327062753
9-10,3,272,56,1136,576,2830,4795,5206,742,5311,801,5465,66,1220,494,4010,0,0,21,530,0,0,20250327062753
10-11,0,0,0,0,64,1653,9668,6841,128,2703,282,3072,34,1328,240,4164,1387,4217,48,593,0,0,20250327062753
11-12,168,3708,4,400,82,4315,10555,6964,8,888,6,600,0,0,49,4454,6555,7300,45,615,0,0,20250327062753
12-13,3,272,41,1473,210,2033,9549,5658,144,2687,479,3764,25,1347,177,2976,4,500,6,333,0,0,20250327062753
13-14,0,0,4,400,608,1668,5508,6126,813,3119,1309,3976,24,920,660,3647,0,0,3,333,0,0,20250327062753
14-15,0,0,0,0,1090,2146,2450,3436,1361,4173,2193,5123,92,803,1405,4135,49,1080,27,669,0,0,20250327062753
15-16,0,0,0,0,680,2055,767,2401,775,3452,1380,4746,45,910,755,3534,86,1573,48,444,0,0,20250327062753
16-17,0,0,0,0,0,0,793,4037,0,0,0,0,0,0,0,0,0,0,3,375,0,0,20250327062753
17-18,0,0,0,0,0,0,30,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
18-19,0,0,0,0,0,0,21,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
19-20,0,0,0,0,0,0,206,3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
20-21,0,0,0,0,0,0,415,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
21-22,0,0,0,0,0,0,208,3409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327062753
22-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333,0,0,20250327062753
3-4,0,0,0,0,0,0,0,0,54,4500,183,2440,0,0,0,0,532,2662,6,545,0,0,20250408054629
4-5,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,2047,0,0,20250408054629
5-6,25,328,140,1363,258,2545,0,0,187,3482,668,4346,54,1125,194,2608,215,1812,305,1195,0,0,20250408054629
6-7,33,492,156,1003,973,2347,0,0,900,3210,2143,3815,222,1221,1128,3511,20436,5199,168,717,0,0,20250408054629
7-8,6,323,85,1629,77,2080,0,0,58,2900,239,2305,43,1321,86,2994,2926,4793,219,904,0,0,20250408054629
8-9,6,187,59,1515,136,1566,0,0,88,3001,51,2500,19,950,81,2625,86,1604,33,326,0,0,20250408054629
9-10,3,300,32,1185,0,0,0,0,15,1500,369,6009,13,650,42,2375,43,1750,33,347,0,0,20250408054629
10-11,0,0,0,0,111,2846,0,0,72,5142,19,2111,0,0,47,3916,0,0,27,272,0,0,20250408054629
11-12,19,456,65,928,0,0,0,0,30,1583,39,1624,13,343,20,2222,581,2671,56,980,0,0,20250408054629
12-13,148,1060,48,1014,362,3370,0,0,164,2345,244,3096,38,1147,325,4146,28302,6564,309,1573,0,0,20250408054629
13-14,0,0,0,0,0,0,0,0,0,0,3,375,0,0,0,0,0,0,12,358,0,0,20250408054629
15-16,0,0,0,0,0,0,248158,5390,0,0,0,0,0,0,0,0,0,0,9,190,0,0,20250408054629
16-17,14,219,855,1074,854,1324,247102,6315,959,1852,1446,2154,99,641,814,1487,3506,2559,60,420,0,0,20250408054629
17-18,5,384,14,583,150,1700,241198,6288,78,2160,379,2513,42,916,250,3161,2963,5724,69,701,0,0,20250408054629
18-19,12,521,38,694,46,2090,451767,6107,18,1636,15,501,62,1303,142,2187,46570,6150,243,1115,0,0,20250408054629
19-20,0,0,0,0,0,0,17977,5682,0,0,0,0,0,0,29,2636,13799,5816,186,1125,0,0,20250408054629
20-21,201,1111,4,102,132,2693,1111,6312,10,833,15,1363,0,0,63,2863,555,5411,36,827,0,0,20250408054629
21-22,10,769,0,0,0,0,422,22210,0,0,0,0,0,0,0,0,0,0,366,2227,0,0,20250408054629
4-5,17,281,159,1520,691,2227,0,0,669,3042,1379,3839,112,1194,726,3167,3201,5251,48,738,0,0,20250409054803
5-6,43,361,217,1406,731,2025,0,0,968,2753,1741,3977,150,942,1066,3260,3382,4452,323,980,0,0,20250409054803
6-7,56,513,306,1439,1552,2289,0,0,1579,3319,3337,4594,394,1307,2329,3544,79889,7601,474,1637,0,0,20250409054803
7-8,53,713,243,978,1259,2353,0,0,931,3225,2561,4172,338,1879,1599,4346,69511,8190,657,2187,0,0,20250409054803
8-9,59,788,292,1609,675,2493,0,0,405,3351,1319,4119,178,1742,761,4351,47911,5570,378,1837,0,0,20250409054803
9-10,64,557,434,1360,1892,2628,0,0,1701,3991,3700,5829,488,2077,2356,4766,90306,7610,642,1672,0,0,20250409054803
10-11,456,1886,119,1231,827,2823,0,0,463,4078,1089,3754,112,1773,893,4532,43017,7082,384,1958,0,0,20250409054803
11-12,63,568,329,1334,792,2517,0,0,616,3297,2232,5244,314,1954,975,4347,140082,7545,630,2024,0,0,20250409054803
12-13,12,750,82,1411,488,1888,209,3685,441,3320,1136,4302,194,2722,639,4238,94776,6935,309,1302,0,0,20250409054803
13-14,227,1833,41,1055,400,2420,327,7136,239,2338,405,2283,61,1782,428,3412,66187,6244,171,1215,0,0,20250409054803
14-15,478,3499,26,852,342,1560,0,0,21,786,39,1108,24,2400,237,2636,59325,7016,138,839,0,0,20250409054803
15-16,3,300,31,1078,5,98,0,0,0,0,0,0,24,2400,24,3000,19046,5840,36,591,0,0,20250409054803
16-17,90,1693,33,993,673,2761,0,0,750,4812,937,4746,82,1825,291,2971,55230,6659,51,749,0,0,20250409054803
17-18,60139,34,6129,30,0,0,0,0,0,0,0,0,0,0,260,7428,4477,6358,18,916,0,0,20250409054803
18-19,94563,45,21906,115,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250409054803
19-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,611,6,129,0,0,20250409054803
20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,250,0,0,20250409054803
21-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,272,0,0,20250409054803
22-23,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1570,0,0,20250409054803
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,812,6,428,0,0,20250410054658
4-5,15,236,180,718,471,1286,0,0,357,1291,929,1397,67,579,173,898,810,1649,24,294,0,0,20250410054658
5-6,25,316,117,849,365,1628,0,0,391,1704,603,2723,37,491,379,1490,371,2004,302,815,0,0,20250410054658
6-7,11,297,84,1013,545,1751,0,0,550,1919,1181,2669,110,1270,598,2596,2971,3989,42,442,0,0,20250410054658
7-8,29,392,85,1008,400,1340,0,0,387,1388,520,1503,91,1048,551,2405,40821,6402,477,1552,0,0,20250410054658
8-9,159,611,125,989,555,2271,0,0,456,2653,1067,3727,88,1062,541,3204,9243,5115,153,1008,0,0,20250410054658
9-10,30,298,278,1131,362,1993,0,0,255,2271,623,3634,117,1067,342,2339,31994,4800,231,1194,0,0,20250410054658
10-11,3,250,0,0,238,1145,0,0,305,2231,416,2121,27,1416,279,2459,19106,5348,78,882,0,0,20250410054658
11-12,54,711,172,1194,478,1647,0,0,307,1957,979,2444,208,1273,787,3159,73328,6962,345,1179,0,0,20250410054658
12-13,363,1876,87,796,1103,2240,0,0,991,2972,1248,2935,222,1219,1321,4339,88068,7128,8082,4302,0,0,20250410054658
13-14,0,0,4,363,316,1976,0,0,318,3372,314,2381,48,1076,321,2822,887,4759,693,4542,0,0,20250410054658
14-15,3,272,16,689,362,2064,0,0,326,2639,898,4633,106,1330,942,5439,31431,7781,255,2463,0,0,20250410054658
15-16,3,272,33,1264,169,1679,0,0,88,2035,300,3946,34,680,184,2158,39805,7192,186,1475,0,0,20250410054658
16-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,571,9,365,0,0,20250410054658
17-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,0,0,20250410054658
18-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,327,0,0,20250410054658
19-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333,18,393,0,0,20250410054658
20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,388,0,0,20250410054658
21-22,10,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,2083,0,0,20250410054658
1-2,9,900,104,1562,0,0,0,0,45,4500,99,5500,35,1681,95,4161,129,4636,15,1500,0,0,20250411054720
2-3,17,850,52,1154,558,1814,0,0,476,2755,1055,3548,70,1263,391,3229,5333,6249,39,977,0,0,20250411054720
3-4,3,375,38,1276,0,0,2183561,9325,0,0,0,0,18,1020,39,2437,43,1416,3,300,0,0,20250411054720
4-5,3,272,52,951,471,2141,3084918,15451,468,3689,731,3896,49,1047,428,2935,13100,6763,87,1505,0,0,20250411054720
5-6,16,299,0,0,116,2786,3322,6341,137,5507,99,2600,0,0,72,3275,251,3123,293,2323,0,0,20250411054720
6-7,0,0,0,0,0,0,1140,5189,0,0,0,0,0,0,0,0,61,1139,0,0,0,0,20250411054720
7-8,0,0,0,0,0,0,843,4428,0,0,0,0,0,0,0,0,9,1000,0,0,0,0,20250411054720
8-9,639082,7892,145233,9239,405551,3706,3297,4474,296510,6988,272697,6393,11158,3959,167407,6221,659,4388,21,645,0,0,20250411054720
9-10,52,757,235,1819,524,2489,13087,7679,572,3360,1370,4048,221,1602,760,4023,39782,7733,195,1413,0,0,20250411054720
10-11,329,1149,1576,2611,5811,3480,70821,8251,5429,5626,10568,7267,1188,2802,5615,5972,86166,8067,336,1073,0,0,20250411054720
11-12,410349,4584,56570,5215,270062,3673,11620,7983,171437,4956,135987,5210,6021,3348,83530,5689,129752,8457,510,2063,0,0,20250411054720
12-13,1157160,7102,114205,6092,642579,4041,5815,6684,384007,5750,333595,6656,12761,4140,245707,5237,66405,6899,168,1114,0,0,20250411054720
13-14,23,633,96,1150,1374,2894,7710,6693,1306,4456,1883,6223,168,1806,1229,5087,98260,7335,411,1586,0,0,20250411054720
14-15,724,5021,15,512,378,5347,7381,6694,12,666,30,1194,0,0,236,4917,26090,6434,156,1108,0,0,20250411054720
15-16,13,566,31,958,476,2520,3141,4831,657,3910,675,5163,31,593,462,5582,1058,3647,18,393,0,0,20250411054720
16-17,5,500,16,930,994,2770,27659,8005,1189,3679,1638,4441,122,1156,1422,4045,21465,8798,93,773,0,0,20250411054720
17-18,5,87,10,1000,268,2901,7542,7624,103,6437,478,9463,28,3500,332,5700,20228,5589,39,2166,0,0,20250411054720
18-19,0,0,0,0,0,0,2115,4569,0,0,6,545,0,0,0,0,0,0,0,0,0,0,20250411054720
19-20,0,0,0,0,0,0,2418,4479,0,0,0,0,0,0,0,0,0,0,9,361,0,0,20250411054720
20-21,0,0,0,0,0,0,3687,5819,0,0,0,0,0,0,0,0,0,0,3,300,0,0,20250411054720
21-22,0,0,0,0,0,0,12828,9965,0,0,0,0,0,0,0,0,0,0,3,375,0,0,20250411054720
22-23,10,909,0,0,0,0,18277,7587,0,0,0,0,0,0,0,0,0,0,357,4072,0,0,20250411054720
23-24,0,0,0,0,0,0,23998,9653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250411054720
0-1,0,0,0,0,0,0,14648,8894,0,0,0,0,0,0,0,0,0,0,3,300,0,0,20250412054732
1-2,3,300,51,1032,0,0,135,2002,0,0,0,0,33,846,42,1714,856,5860,27,1500,0,0,20250412054732
2-3,5,555,14,722,199,2926,368,3592,152,2700,461,5069,45,1680,238,5499,2147,6467,9,514,0,0,20250412054732
3-4,6,294,64,2830,114,2155,422,3183,201,3978,90,1431,6,354,57,1686,86,1712,6,380,0,0,20250412054732
4-5,228,922,419,1941,1207,2658,2502,5363,907,3245,2247,3965,497,2142,1822,4662,87382,7403,357,1428,0,0,20250412054732
5-6,25,403,135,2171,734,2725,29262,7553,688,4703,1242,5664,88,1151,823,3919,529,2306,334,2020,0,0,20250412054732
6-7,185,972,676,2077,3167,3051,7125,6260,2598,4997,5088,6107,1019,2801,4338,5743,213603,8560,1167,2367,0,0,20250412054732
7-8,163,1986,152,1113,1153,2299,2120,7119,1077,3976,2141,4221,304,2138,1493,3448,45251,6241,921,2545,0,0,20250412054732
8-9,913294,8067,130015,9008,623065,4002,5365,5359,442971,8970,379168,6633,11144,6000,223019,5946,10073,4211,219,1841,0,0,20250412054732
9-10,2851,2550,1191,1607,3764,2681,19971,6896,3332,4753,3879,4494,656,2238,4302,5519,240166,7470,915,2148,0,0,20250412054732
10-11,1214,2529,709,1774,4702,3502,17054,7020,6052,5634,6368,4849,934,2642,5896,6448,387119,8018,1113,2382,0,0,20250412054732
11-12,1050,2718,373,1735,3149,3059,16976,6453,3396,5093,4313,4139,752,2803,5181,6173,265761,7585,1095,2704,0,0,20250412054732
12-13,1078,3242,340,1784,3458,2892,14931,7150,3074,5164,4451,5347,576,1721,4077,5610,149804,7825,729,2297,0,0,20250412054732
13-14,560,2695,232,1530,1488,2643,7283,6755,1208,3991,2619,4324,426,1925,2853,5514,73757,7426,966,2679,0,0,20250412054732
14-15,628,3486,159,1366,1241,3277,6744,5752,831,4734,1381,4565,112,1241,1050,4657,115658,7108,684,2031,0,0,20250412054732
15-16,596,2552,140,943,1216,2990,4551,5867,668,3164,1335,3584,170,1790,1377,5647,89340,8540,519,1759,0,0,20250412054732
16-17,148,6727,6,600,281,2174,11706,7257,247,2784,37,1019,36,2083,314,3361,0,0,216,2313,0,0,20250412054732
17-18,299,3118,31,979,545,2679,4118,6203,403,3012,788,3276,91,1053,637,4180,0,0,297,1625,0,0,20250412054732
18-19,168,1480,212,1458,1734,2973,2474,4787,2013,5110,2632,5271,412,1575,2379,4731,0,0,414,1783,0,0,20250412054732
19-20,364,2067,162,1998,1108,2794,2919,5299,696,3811,1030,3847,112,1419,1035,4239,0,0,75,1114,0,0,20250412054732
20-21,175,1996,119,1245,462,1845,315,5710,327,2859,690,3510,131,1781,612,4489,165081,6071,75,1073,0,0,20250412054732
21-22,10,1000,0,0,0,0,901,12590,0,0,0,0,0,0,0,0,14334,4464,410,3723,0,0,20250412054732
22-23,0,0,0,0,0,0,199,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250412054732
23-24,0,0,0,0,0,0,4138,5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250412054732
0-1,0,0,0,0,0,0,4134,6295,0,0,0,0,0,0,0,0,0,0,6,193,0,0,20250413054801
1-2,0,0,0,0,0,0,407,5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250413054801
2-3,0,0,0,0,0,0,308,7944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250413054801
